tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
2.40E+01,positive,0.6922,,,Virgin America,,Travelzoo,,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,,2/23/2015 13:30,"New York, NY",Pacific Time (US & Canada)
2.50E+01,neutral,0.6492,,0,Virgin America,,seimatrun,,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,,2/23/2015 12:00,Los Angeles,
2.60E+01,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,,2/23/2015 10:54,Los Angeles,
2.70E+01,neutral,0.6545,,0,Virgin America,,cabowine,,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,,2/23/2015 10:04,"Los Cabos,Mexico",Arizona
2.80E+01,neutral,0.6765,,0,Virgin America,,yazdanagh,,0,@VirginAmerica why is flight 345 redirected?,,2/23/2015 9:26,,
2.90E+01,negative,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,"[0.0, 0.0]",2/23/2015 8:08,Floridian from Cincinnati ,Eastern Time (US & Canada)
3.00E+01,neutral,0.6593,,0,Virgin America,,drcaseydrake,,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",2/23/2015 7:28,"Dallas, TX",
3.10E+01,positive,0.6823,,0,Virgin America,,flyfromWAS,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",,2/23/2015 6:57,"Washington, DC",Eastern Time (US & Canada)
3.20E+01,positive,0.678,,,Virgin America,,Silvanabfer,,0,@VirginAmerica Have a great week 🌞✈,,2/23/2015 6:51,,
3.30E+01,positive,0.3482,,0,Virgin America,,AdamJdubs,,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,,2/23/2015 6:07,Earth,Eastern Time (US & Canada)
3.40E+01,negative,0.6832,Customer Service Issue,0.3773,Virgin America,,usagibrian,,0,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,,2/22/2015 22:39,San Francisco CA,Pacific Time (US & Canada)
3.50E+01,negative,0.6703,Customer Service Issue,0.6703,Virgin America,,ChrisFordisHere,,0,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,"[51.04345575, -114.06071363]",2/22/2015 17:14,NYC,Tehran
3.60E+01,neutral,0.6535,,0,Virgin America,,lawyang588,,0,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,,2/22/2015 15:41,,
3.70E+01,positive,0.7011,,,Virgin America,,HollywoodHotMom,,0,@VirginAmerica always!!! Xoxo,,2/22/2015 14:09,All Over!,Pacific Time (US & Canada)
3.80E+01,negative,0.6543,Flight Attendant Complaints,0.3562,Virgin America,,MOCBlogger,,0,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,,2/22/2015 14:03,San Diego,Alaska
3.90E+01,neutral,0.355,,0,Virgin America,,FiDiFamilies,,0,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,,2/22/2015 13:49,New York City ,Eastern Time (US & Canada)
4.00E+01,negative,0.6889,Late Flight,0.6889,Virgin America,,jarrydosborne,,0,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,,2/22/2015 13:47,New York,Eastern Time (US & Canada)
4.10E+01,negative,0.679,Flight Booking Problems,0.3684,Virgin America,,Tyler_Starrine,,0,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,,2/22/2015 13:23,Los Angeles,Pacific Time (US & Canada)
4.20E+01,neutral,0.6732,,0,Virgin America,,RheaThurman1,,0,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",,2/22/2015 11:10,,
4.30E+01,negative,0.6517,Customer Service Issue,0.3371,Virgin America,,sbaaronson,,0,@VirginAmerica is the website down?,,2/22/2015 8:56,Los Angeles,
4.40E+01,negative,0.68,Customer Service Issue,0.35,Virgin America,,jonesbasf,,0,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,,2/22/2015 8:53,,
4.50E+01,neutral,0.6816,,0,Virgin America,,khartline,,0,@VirginAmerica I'd love to know what your policy is for damaged luggage.,,2/21/2015 20:41,Las Vegas,Pacific Time (US & Canada)
4.60E+01,neutral,0.6701,,0,Virgin America,,TTINAC11,,0,@VirginAmerica @TTINAC11 I DM you,,2/21/2015 18:35,"Las Vegas, NV",Mountain Time (US & Canada)
4.70E+01,neutral,0.6942,,0,Virgin America,,elaurawrr,,0,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,,2/21/2015 18:29,,Arizona
4.80E+01,neutral,0.653,,,Virgin America,,obiwantoby,,0,@VirginAmerica If only you guys had flights from CMH.,,2/21/2015 17:43,,Quito
4.90E+01,neutral,0.6743,,0,Virgin America,,TheNotoriousLEX,,0,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,,2/21/2015 17:18,Chicago ,Central Time (US & Canada)
5.00E+01,positive,0.6783,,,Virgin America,,advertisingdiva,,0,@VirginAmerica you will match my #AmericanAirlines status? Cool!,"[38.9128188, -77.00798226]",2/21/2015 17:15,DC - LA - Venice Beach,Eastern Time (US & Canada)
5.10E+01,negative,0.7158,Cancelled Flight,0.7158,Virgin America,,Artenis15,,0,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,,2/21/2015 15:27,MA // Ashton in Wonderland,Eastern Time (US & Canada)
5.20E+01,neutral,0.6809,,0,Virgin America,,carabubes,,0,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,,2/21/2015 14:23,"Los Angeles, California",Central Time (US & Canada)
5.30E+01,positive,0.6775,,0,Virgin America,,rtw4,,0,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,,2/21/2015 13:41,"Natick, MA, USA",Central Time (US & Canada)
5.40E+01,negative,0.7053,Bad Flight,0.7053,Virgin America,,wmrrock,,0,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,,2/21/2015 13:30,CT,Eastern Time (US & Canada)
5.50E+01,negative,0.642,Cancelled Flight,0.642,Virgin America,,BigRichTexasPam,,0,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,"[32.8437698, -96.84928399]",2/21/2015 13:18,FREE ADVICE! ,Central Time (US & Canada)
5.60E+01,positive,0.6667,,0,Virgin America,,aaronkurlander,,0,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,,2/21/2015 13:00,"New York, NY",Eastern Time (US & Canada)
5.70E+01,negative,0.699,Customer Service Issue,0.699,Virgin America,,floatingatoll,,0,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",,2/21/2015 12:44,"Silicon Valley, California",Pacific Time (US & Canada)
5.80E+01,positive,0.6522,,,Virgin America,,carlos89178,,0,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,,2/21/2015 11:49,,
5.90E+01,positive,0.7081,,,Virgin America,,stefanpinto,,0,@VirginAmerica Like http://t.co/VPqEm31XUQ,,2/21/2015 11:10,"Los Angeles, CA",Pacific Time (US & Canada)
6.00E+01,negative,0.6455,Flight Booking Problems,0.3497,Virgin America,,josephschwegler,,0,@VirginAmerica Site down? #help,,2/21/2015 11:06,,Pacific Time (US & Canada)
6.10E+01,positive,0.6575,,,Virgin America,,EleonoraKaras,,0,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",,2/21/2015 10:31,New York,
6.20E+01,negative,0.6489,Late Flight,0.6489,Virgin America,,stephenasilverm,,0,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,,2/21/2015 10:22,,
6.30E+01,negative,0.6786,Cancelled Flight,0.6786,Virgin America,,mrl6626,,0,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",,2/21/2015 10:15,,Arizona
6.40E+01,negative,0.6473,Lost Luggage,0.3341,Virgin America,,RedSoxGirl1976,,0,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",,2/21/2015 9:10,Somewhere outside of Fenway,Eastern Time (US & Canada)
6.50E+01,positive,0.6771,,,Virgin America,,InuAtah,,0,"@VirginAmerica classiq, luv Virgin America. Greetingz",,2/21/2015 9:03,Abuja,
6.60E+01,negative,0.6636,Customer Service Issue,0.6636,Virgin America,,borknagar,,0,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",,2/21/2015 8:59,chile,Santiago
6.70E+01,negative,0.6706,Bad Flight,0.3514,Virgin America,,eatgregeat,,0,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews","[26.06726717, -80.14433663]",2/21/2015 2:36,,Eastern Time (US & Canada)
6.80E+01,neutral,0.6598,,,Virgin America,,woawABQ,,0,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",,2/20/2015 22:18,"Albuquerque, NM",
6.90E+01,negative,0.6965,Bad Flight,0.3634,Virgin America,,stephanieslome,,0,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,,2/20/2015 17:16,San Francisco,Pacific Time (US & Canada)
7.00E+01,negative,0.6368,Can't Tell,0.6368,Virgin America,,miekd,,0,@VirginAmerica Already checked in so the page expired :X,,2/20/2015 16:23,San Francisco,Pacific Time (US & Canada)
7.10E+01,positive,0.6855,,,Virgin America,,AlyssaJenS,,0,@VirginAmerica I see what you did there ;),,2/20/2015 16:02,"Bay Area, CA",Pacific Time (US & Canada)
7.20E+01,neutral,0.6803,,,Virgin America,,Kevin_E_Park,,0,@VirginAmerica way to take advantage of #MayweatherPacquiao :),,2/20/2015 15:50,,Pacific Time (US & Canada)
7.30E+01,positive,0.6776,,,Virgin America,,MaverickGamersX,,0,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),,2/20/2015 13:48,Follow/Retweet for giveaways!,
7.40E+01,negative,0.6569,Customer Service Issue,0.6569,Virgin America,,SleeplessByte,,0,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,"[0.0, 0.0]",2/20/2015 12:21,Rijswijk ♡ The Netherlands,Amsterdam
7.50E+01,neutral,0.6773,,0,Virgin America,,AcronymBex,,0,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,,2/20/2015 12:17,"NY, NY",Eastern Time (US & Canada)
7.60E+01,neutral,0.6625,,0,Virgin America,,SocialMedia305,,0,@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,,2/20/2015 9:44,,Eastern Time (US & Canada)
7.70E+01,negative,0.662,Flight Booking Problems,0.662,Virgin America,,chrisaguiar88,,0,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,,2/20/2015 8:36,Massachusetts,
7.80E+01,positive,0.6884,,,Virgin America,,GabriellaDago,,0,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",,2/20/2015 8:06,New York City,Eastern Time (US & Canada)
7.90E+01,neutral,0.6354,,,Virgin America,,SoleXclusive415,,0,@VirginAmerica momma I made it! 😁😁😁,,2/19/2015 20:45,Bay Area,
8.00E+01,neutral,0.6742,,0,Virgin America,,SSal,,0,@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!,,2/19/2015 20:33,"Dutchess County, NY",Eastern Time (US & Canada)
8.10E+01,neutral,0.6461,,,Virgin America,,AQR415,,0,@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,,2/19/2015 19:06,San Francisco,Pacific Time (US & Canada)
8.20E+01,positive,0.6482,,,Virgin America,,SuuperG,,0,@VirginAmerica Thanks!,,2/19/2015 18:57,Wandering So-Cal-ian,Pacific Time (US & Canada)
8.30E+01,negative,0.6381,Flight Booking Problems,0.3279,Virgin America,,zoelle,,0,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)",,2/19/2015 17:37,San Francisco,Pacific Time (US & Canada)
8.40E+01,neutral,0.6673,,,Virgin America,,adavidson26,,0,@VirginAmerica is my new go to airline,,2/19/2015 16:46,Bay Area,Pacific Time (US & Canada)
8.50E+01,positive,0.6875,,,Virgin America,,MNDNCH,,0,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,,2/19/2015 14:51,SD/LA/PS,Pacific Time (US & Canada)
8.60E+01,negative,0.6539,Customer Service Issue,0.3461,Virgin America,,conorjrogers,,0,@VirginAmerica trying to check-in...but looks like your site is down?,,2/19/2015 14:25, DC | Jersey City,Eastern Time (US & Canada)
8.70E+01,negative,0.6558,Late Flight,0.6558,Virgin America,,bonniecamp,,1,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!",,2/19/2015 14:06,,
8.80E+01,negative,0.6596,Customer Service Issue,0.3617,Virgin America,,GaySkiWeek,,0,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,,2/19/2015 13:45,"Telluride, CO",Central Time (US & Canada)
8.90E+01,negative,0.3617,Flight Booking Problems,0.3617,Virgin America,,jamonholmgren,,0,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3,,2/19/2015 13:18,"Vancouver, WA",Arizona
9.00E+01,negative,0.7223,longlines,0.7223,Virgin America,,c_crubin,,0,"@VirginAmerica
wjere is our luggage #so slow at lax",,2/19/2015 13:08,,London
9.10E+01,negative,0.654,Flight Booking Problems,0.3438,Virgin America,,taygarrett,,0,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",,2/19/2015 11:46,san francisco,Eastern Time (US & Canada)
9.20E+01,neutral,0.6624,,0,Virgin America,,giannilee,,0,Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”,,2/19/2015 10:53,VFILES DJ CHAMPION,Eastern Time (US & Canada)
9.30E+01,positive,0.6548,,,Virgin America,,_kristenicole_,,0,@VirginAmerica ok! first time flying with you tonight :),,2/19/2015 10:33,☂ Seattle | WA,Eastern Time (US & Canada)
9.40E+01,neutral,0.6696,,,Virgin America,,CuteMonsterDad,,0,@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!,,2/19/2015 10:25,3rd Planet from the Sun,Central Time (US & Canada)
9.50E+01,negative,0.6756,Can't Tell,0.6756,Virgin America,,danteusa1,,0,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn",,2/19/2015 9:59,,
9.60E+01,positive,0.6888,,,Virgin America,,mightymeesh,,0,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉,,2/19/2015 9:22,San Francisco,
9.70E+01,positive,0.6395,,,Virgin America,,EricLMitchell,,0,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,,2/19/2015 8:46,San Francisco,Pacific Time (US & Canada)
9.80E+01,neutral,0.6774,,0,Virgin America,,itsGREEKSAUSAGE,,0,"@VirginAmerica I just did, how can I DM? Do u have to also add me?",,2/19/2015 8:01,"NY, NJ, CA, Greece",Eastern Time (US & Canada)
9.90E+01,positive,0.6618,,,Virgin America,,kzone7,,0,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",,2/19/2015 7:50,"Long Island, NY",Eastern Time (US & Canada)
1.00E+02,positive,0.6871,,,Virgin America,,quackling,,0,@VirginAmerica that doesn't look to fat to me! It looks yummy!,,2/19/2015 4:52,"Birmingham, Michigan",
1.01E+02,neutral,0.6811,,,Virgin America,,stevengcpa,,0,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,,2/19/2015 4:10,California,Pacific Time (US & Canada)
1.02E+02,neutral,0.7026,,0,Virgin America,,AlgeriaTweets,,0,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE,,2/18/2015 23:15,"Algiers, Algeria",Abu Dhabi
1.03E+02,positive,0.6724,,,Virgin America,,_raulll,,0,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,,2/18/2015 22:58,"mckinney, tx",
1.04E+02,negative,0.6801,Flight Booking Problems,0.6801,Virgin America,,gbone34,,0,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help,,2/18/2015 20:03,,
1.05E+02,negative,0.6307,Customer Service Issue,0.6307,Virgin America,,edzme,,0,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!,,2/18/2015 18:47,The other side,
1.06E+02,neutral,0.3483,,0,Virgin America,,timlopez,,0,@VirginAmerica Really? Sprint? I thought you guys were 'kewl'! 0_0,,2/18/2015 16:05,Southern California,Pacific Time (US & Canada)
1.07E+02,neutral,0.639,,,Virgin America,,franks105,,0,@VirginAmerica you should have 39 dollar LAX-Las fares!!!,,2/18/2015 15:39,Hogwarts,Pacific Time (US & Canada)
1.08E+02,negative,0.6727,Customer Service Issue,0.6727,Virgin America,,mekirkpatrick,,0,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.,,2/18/2015 14:26,"Long Beach, CA",Pacific Time (US & Canada)
1.09E+02,negative,0.6702,Customer Service Issue,0.6702,Virgin America,,Pace6445,,0,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.,"[40.63767372, -74.11075451]",2/18/2015 13:18,"Staten Island, NY",
1.10E+02,negative,0.6876,Can't Tell,0.6876,Virgin America,,HuntTreadwell,,0,@VirginAmerica all crap channels which is why I pay to watch UK tv,,2/18/2015 12:42,,
1.11E+02,negative,0.6901,longlines,0.3802,Virgin America,,mrpresident1776,,0,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(,,2/18/2015 11:37,"Washington, D.C.",
1.12E+02,neutral,0.6646,,,Virgin America,,elimae724,,0,@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A,,2/18/2015 10:59,California Love #VFL,
1.13E+02,neutral,0.663,,,Virgin America,,AUStinAirport,,2,"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf",,2/18/2015 10:25,"Austin, TX",Mountain Time (US & Canada)
1.14E+02,neutral,0.6895,,,Virgin America,,reaganroy,,1,@VirginAmerica adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC,,2/18/2015 9:47,,Central Time (US & Canada)
1.15E+02,negative,0.6651,Flight Booking Problems,0.3413,Virgin America,,onewil,,0,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!,"[0.0, 0.0]",2/18/2015 9:46,"San Francisco, CA",Pacific Time (US & Canada)
1.16E+02,positive,0.6655,,,Virgin America,,chrisdpatton,,0,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",,2/18/2015 9:11,"Annapolis, Maryland",
1.17E+02,neutral,0.6632,,,Virgin America,,AwsmSpaceMonkey,,0,@VirginAmerica Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,,2/18/2015 8:34,"San Marcos, CA",Pacific Time (US & Canada)
1.18E+02,neutral,0.6477,,0,Virgin America,,opteyemisg,,0,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,,2/18/2015 6:29,,Central Time (US & Canada)
1.19E+02,neutral,0.6202,,0,Virgin America,,steve97070,,0,@VirginAmerica please add more frequency to PDX Portland,,2/18/2015 6:23,,
1.20E+02,positive,0.6431,,,Virgin America,,HaraLillier,,0,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,,2/17/2015 20:49,,Atlantic Time (Canada)
1.21E+02,positive,0.6681,,,Virgin America,,Price714,,0,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.,,2/17/2015 18:30,"Hamilton, Ohio",Atlantic Time (Canada)
1.22E+02,positive,0.7162,,,Virgin America,,mctrees02,,0,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍,,2/17/2015 17:29,"Dallas, TX",Central Time (US & Canada)
1.23E+02,positive,0.6733,,,Virgin America,,TheAdamRizz,,0,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,,2/17/2015 16:44,"Dallas, Texas",Pacific Time (US & Canada)
1.24E+02,neutral,0.6601,,,Virgin America,,josiebarosie,,0,@VirginAmerica is that #thestarter??😁,,2/17/2015 16:39,Cork.Ireland,
1.25E+02,neutral,0.6198,,,Virgin America,,killawattannie,,0,@VirginAmerica ...Please come to Minneapolis St. Paul!,,2/17/2015 16:37,,Mountain Time (US & Canada)
1.26E+02,neutral,0.3542,,0,Virgin America,,JAYXXX1,,0,@VirginAmerica YES FYI  MY BFF,,2/17/2015 15:32,,
